year,month,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,1,0.304,0.892,0.614,1.411,3.136,4.947,1.517,0.388,2.16,1.934,-1.992,-2.474,-1.134,-0.892,-0.442,0.46,-4.75
1988,2,0.047,0.453,0.596,0.828,1.358,5.663,3.261,5.043,9.58,10.786,6.864,9.469,6.438,1.393,3.258,1.068,0.225
1988,3,0.882,0.633,0.579,3.321,9.998,11.624,16.402,12.766,25.179,19.528,12.638,10.103,8.93,-1.72,0.762,-0.248,0.658
1988,4,0.635,0.189,0.17,1.346,4.503,3.317,4.471,-1.628,10.962,6.143,3.655,8.97,4.704,-1.43,0.902,-0.327,-1.255
1988,5,1.636,0.754,0.735,5.891,15.041,13.531,15.532,11.123,19.798,12.773,4.003,4.624,2.39,-0.935,0.068,0.056,-0.214
1988,6,0.716,0.498,0.288,2.674,7.471,7.077,7.499,12.927,21.401,15.438,2.795,3.485,1.772,0.205,0.297,0.064,-0.032
1988,7,0.412,0.109,0.03,0.59,4.551,5.581,6.772,8.419,19.794,19.659,13.395,11.389,7.898,2.415,1.198,0.194,0.148
1988,8,0.406,0.162,0.008,0.189,0.817,0.966,1.383,3.564,9.025,12.384,12.079,15.536,11.36,4.152,1.712,0.357,0.296
1988,9,0.22,0.038,0.003,0.122,1.055,1.794,3.784,5.62,12.575,12.995,10.194,12.232,8.735,3.104,1.252,0.166,0.267
1988,10,0.235,0.075,0.01,0.2,1.125,1.836,2.239,1.516,4.547,6.469,0.759,3.711,1.75,0.193,0.462,0.006,0
1988,11,1.042,0.162,0.207,1.434,3.513,3.12,2.076,2.4,3.881,2.735,-2.123,-1.174,-0.389,-0.455,-0.401,-0.106,-0.36
1988,12,1.567,0.332,0.912,1.945,3.953,3.97,6.105,4.895,12.411,12.142,9.39,7.533,4.742,-0.299,1.051,0.034,-0.354
1989,1,-0.612,1.002,1.434,3.608,9.226,8.464,11.054,8.685,13.414,17.221,9.833,8.986,6.098,-1.237,0.949,1.413,-1.331
1989,2,1.809,1.026,1.679,2.001,5.184,3.738,9.825,4.862,19.26,6.798,5.177,5.716,10.074,-0.572,-1.359,0.106,0.526
1989,3,4.221,1.294,2.018,4.084,7.144,7.624,-0.241,0.437,-0.148,-7.69,-9.235,-12.393,-4.342,-7.357,-10.264,-4.104,-11.73
1989,4,1.638,0.573,0.286,2.347,6.074,5.628,5.467,3.116,9.998,6.696,4.993,6.1,5.733,0.969,2.079,2.016,0.051
1989,5,2.164,0.484,0.328,5.333,17.339,14.046,11.795,12.904,25.379,20.19,11.323,9.801,5.387,0.964,1.16,0.414,0.211
1989,6,1.16,0.367,0.163,2.153,9.803,6.749,4.826,7.534,18.102,18.387,9.892,10.909,7.128,1.125,0.739,0.095,0.122
1989,7,0.291,0.119,0.04,1.042,8.89,12.136,13.079,9.442,24.146,17.567,8.73,5.899,2.648,0.298,0.125,0.007,0.001
1989,8,0.3,0.069,0.009,0.261,2.935,3.854,3.29,6.948,11.219,13.921,10.09,6.915,3.22,2.317,0.726,0.3,0.316
1989,9,0.407,0.095,0.005,0.262,1.096,0.795,0.77,1.104,3.538,6.407,5.946,6.286,4.151,2.273,1.485,0.252,0.138
1989,10,0.305,0.096,0.015,0.142,0.729,1.065,0.98,1.12,4.236,3.706,1.552,1.144,1.947,0.14,0.31,0.209,-0.072
1989,11,0.157,0.042,0.008,0.079,0.423,0.963,0.93,2.129,3.162,4.773,3.247,1.117,2.376,0.152,0.222,0.218,-0.354
1989,12,0.183,0.079,0.093,0.152,0.665,0.883,1.216,1.324,4.571,5.233,3.323,4.392,4.603,1.214,1.228,-0.26,-1.687
1990,1,0.199,0.402,0.444,0.833,3.179,3.568,4.775,4.693,8.789,7.219,0.188,0.307,-2.039,-4.653,-4.569,-0.821,-4.004
1990,2,0.222,0.862,1.925,4.277,8.57,5.526,7.849,9.436,16.87,16.226,5.957,7.207,3.244,-1.88,-1.89,2.073,-1.976
1990,3,0.922,0.841,1.588,2.907,9.985,10.714,7.087,8.504,21.018,12.253,4.867,8.766,6.659,0.777,1.17,1.928,-1.981
1990,4,0.467,0.285,0.35,1.728,6.966,8.017,8.921,10.139,21.164,18.157,6.246,9.842,8.348,1.474,3.576,1.71,1.358
1990,5,0.777,0.239,0.197,1.993,6.062,4.836,7.013,11.239,28.566,25.223,17.467,16.385,12.108,2.385,2.684,1.202,0.836
1990,6,0.475,0.154,0.063,1.878,7.416,7.186,6.929,9.053,13.908,8.48,4.249,3.124,1.049,-0.002,0.115,0.002,-0.247
1990,7,0.251,0.119,0.009,0.197,0.85,0.943,1.263,2.533,5.738,8.687,5.886,4.092,3.627,2.468,0.828,0.124,0.165
1990,8,0.24,0.094,0.005,0.046,0.347,0.536,0.583,1.315,3.273,4.408,5.347,4.287,3.207,1.635,1.119,0.163,0.095
1990,9,0.198,0.069,0.005,0.095,0.466,0.485,0.606,0.805,1.901,0.915,0.396,0.563,0.427,0.175,0.161,0.075,0.001
1990,10,0.282,0.053,0.002,0.024,0.126,0.555,2.197,3.934,7.678,7.185,1.678,2.32,1.086,0.036,0.015,-0.013,-0.187
1990,11,0.251,0.105,0.015,0.223,1.035,1.838,4.664,7.424,10.493,7.069,3.232,3.218,0.851,0.01,-0.011,-0.195,-0.204
1990,12,0.121,0.032,0.213,0.78,3.628,2.302,3.315,8.198,17.36,13.222,13.276,10.557,10.381,1.662,5.267,1.09,3.704
1991,1,0.433,0.199,0.345,0.445,3.049,0.954,-2.745,0.438,3.311,0.235,0.991,-0.496,3.793,-3.477,-0.597,-1.461,-5.899
1991,2,0.318,0.724,0.462,0.993,1.5,4.213,3.603,2.567,6.623,-1.767,-0.686,-3.396,-3.563,-4.812,-5.348,-3.738,-11.405
1991,3,0.252,0.875,1.263,2.78,6.053,8.124,3.357,4.158,12.246,10.694,4.869,5.339,6.004,1.261,0.739,0.949,0.08
1991,4,2.068,1.252,1.323,7.569,18.584,23.802,19.485,17.377,25.472,19.082,9.611,9.32,4.585,-3.44,-1.209,-0.373,-1.593
1991,5,2.77,1.496,1.623,11.825,24.847,19.498,25.259,25.107,43.141,32.298,22.051,21.778,15.603,2.554,3.411,1.402,0.944
1991,6,0.965,0.792,0.188,2.003,8.952,10.093,9.529,14.288,31.907,34.962,20.073,18.613,18.641,3.731,3.638,1.581,1.679
1991,7,0.641,0.374,0.131,0.276,1.896,4.129,1.066,9.874,14.444,17.103,17.077,17.659,11.55,4.748,1.748,0.272,0.324
1991,8,0.716,0.364,0.021,0.408,2.009,2.432,1.964,3.216,6.078,6.374,2.616,3.169,2.428,0.422,0.436,0.069,-0.024
1991,9,0.218,0.126,0.014,0.098,0.537,1.013,0.892,2.11,4.394,5.379,4.241,4.868,2.452,0.321,0.237,0.087,0.005
1991,10,0.182,0.078,0.018,0.093,0.752,1.085,1.683,1.369,4.17,5.462,4.478,3.861,3.874,1.469,1.151,0.741,0.449
1991,11,0.296,0.216,0.204,0.63,3.084,5.053,7.971,9.555,11.18,7.979,6.323,3.378,1.302,-1.079,-0.773,-1.051,-2.851
1991,12,-0.198,-0.197,0.234,-0.158,-0.289,-2.864,-3.615,-0.526,1.533,-1.146,0.617,-1.781,0.882,-0.762,-1.206,-1.04,-3.575
1992,1,0.07,-0.204,0.191,0.288,1.637,0.727,1.222,-1.547,1.345,-2.633,-1.873,-5.628,-3.679,-6.033,-7.41,-5.314,-12.22
1992,2,0.211,0.104,-0.045,-0.305,-0.12,-2.908,-0.51,-2.839,-2.57,-3.421,-4.271,-5.55,-2.066,-2.238,-1.782,-0.666,-3.473
1992,3,0.491,0.16,0.143,0.145,0.488,-0.096,0.087,0.273,0.604,0.754,1.086,1.012,2.689,0.824,1.359,0.813,0.632
1992,4,0.49,0.181,0.052,1.055,3.157,3.555,3.165,2.594,3.255,2.452,0.43,0.295,-0.13,-0.391,0.042,-0.061,-0.29
1992,5,0.253,0.13,0.077,0.528,1.734,2.82,3.869,7.774,10.61,10.978,5.492,4.718,2.465,0.409,0.342,0.042,0.077
1992,6,0.498,0.167,0.058,0.736,1.754,1.759,2.302,4.028,10.198,11.515,7.699,6.479,3.578,0.472,0.403,0.06,0.043
1992,7,0.127,0.058,0.013,0.258,0.913,0.784,1.229,3.065,5.536,6.015,4.585,3.913,2.761,1.179,0.528,0.201,0.075
1992,8,0.213,0.062,0.003,0.035,0.576,1.32,2.292,2.384,4.992,4.675,3.507,3.193,1.724,0.656,0.507,0.139,0.105
