year,month,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,1,0.102,0.232,0.182,0.231,0.33,0.466,0.144,0.049,0.201,0.174,-0.156,-0.202,-0.089,-0.092,-0.062,0.04,-0.347
1988,2,0.027,0.113,0.16,0.157,0.15,0.577,0.274,0.388,0.751,0.823,0.514,0.717,0.475,0.096,0.23,0.073,0.016
1988,3,0.293,0.262,0.328,0.737,1.082,1.011,1.194,0.777,1.473,1.023,0.646,0.592,0.555,-0.106,0.068,-0.013,0.026
1988,4,0.33,0.213,0.279,0.403,0.58,0.329,0.301,-0.072,0.629,0.349,0.228,0.617,0.364,-0.111,0.065,-0.018,-0.071
1988,5,0.582,0.5,0.627,0.869,1.27,1.006,0.994,0.674,1.371,0.985,0.443,0.483,0.386,-0.132,-0.004,0.007,-0.057
1988,6,0.245,0.341,0.414,0.43,0.744,0.819,0.564,0.87,1.663,1.3,0.505,0.691,0.553,0.162,0.379,0.197,0.091
1988,7,0.232,0.19,0.192,0.27,0.605,0.576,0.506,0.531,1.351,1.429,0.994,1.036,1.343,0.564,0.726,0.385,0.324
1988,8,0.339,0.384,0.275,0.375,0.566,0.517,0.318,0.498,0.976,1.079,0.878,1.006,1.021,0.554,0.633,0.3,0.252
1988,9,0.221,0.12,0.161,0.289,0.457,0.409,0.561,0.56,1.058,1.055,0.727,0.741,0.703,0.336,0.451,0.227,0.181
1988,10,0.238,0.193,0.247,0.329,0.459,0.335,0.321,0.228,0.525,0.607,0.187,0.388,0.381,0.159,0.271,0.106,0.016
1988,11,0.593,0.174,0.318,0.523,0.575,0.455,0.238,0.265,0.434,0.327,-0.271,-0.179,-0.183,-0.416,-0.378,-0.16,-0.295
1988,12,0.52,0.047,0.23,0.288,0.444,0.382,0.511,0.378,0.833,0.84,0.657,0.725,0.605,-0.007,0.204,0.023,-0.009
1989,1,-0.083,0.147,0.17,0.282,0.628,0.543,0.73,0.482,0.732,0.93,0.488,0.485,0.364,-0.074,0.076,0.088,-0.064
1989,2,0.226,0.108,0.195,0.174,0.31,0.201,0.546,0.259,0.965,0.363,0.266,0.283,0.512,0.006,0.004,0.019,0.054
1989,3,0.621,0.294,0.433,0.475,0.516,0.561,0.007,0.039,0.028,-0.37,-0.443,-0.604,-0.178,-0.324,-0.437,-0.149,-0.461
1989,4,0.413,0.345,0.258,0.345,0.513,0.431,0.405,0.209,0.622,0.419,0.346,0.409,0.431,0.092,0.2,0.171,0.051
1989,5,0.679,0.493,0.548,0.814,1.383,1.185,0.888,0.879,1.681,1.293,0.865,0.893,0.786,0.195,0.319,0.182,0.117
1989,6,0.427,0.311,0.279,0.427,0.734,0.614,0.393,0.44,1.179,1.197,0.713,0.85,0.874,0.268,0.362,0.093,0.021
1989,7,0.211,0.219,0.223,0.684,1.359,1.348,1.268,0.718,2.149,1.62,0.768,0.721,0.679,0.316,0.406,0.199,0.066
1989,8,0.292,0.234,0.285,0.386,0.587,0.471,0.4,0.652,1.173,1.201,0.858,0.812,0.79,0.439,0.494,0.301,0.2
1989,9,0.376,0.375,0.426,0.416,0.514,0.309,0.22,0.196,0.352,0.566,0.531,0.593,0.672,0.447,0.484,0.335,0.183
1989,10,0.298,0.293,0.317,0.338,0.445,0.356,0.32,0.295,0.578,0.402,0.156,0.111,0.198,-0.035,-0.06,0.027,-0.114
1989,11,0.159,0.112,0.137,0.17,0.324,0.393,0.262,0.442,0.733,0.601,0.283,0.221,0.429,0.017,0.08,0.1,-0.021
1989,12,0.137,0.11,0.246,0.169,0.263,0.259,0.227,0.165,0.665,0.78,0.395,0.45,0.41,0.115,0.124,-0.037,-0.155
1990,1,0.114,0.285,0.369,0.319,0.523,0.433,0.503,0.388,0.619,0.551,-0.001,0.003,-0.162,-0.379,-0.429,-0.054,-0.271
1990,2,0.08,0.286,0.585,0.521,0.716,0.448,0.543,0.541,0.936,0.99,0.339,0.415,0.18,-0.105,-0.103,0.097,-0.125
1990,3,0.245,0.238,0.391,0.293,0.626,0.656,0.414,0.419,1.163,0.684,0.314,0.505,0.386,0.051,0.087,0.129,-0.083
1990,4,0.184,0.19,0.311,0.33,0.658,0.568,0.609,0.627,1.331,1.163,0.442,0.684,0.545,0.088,0.259,0.134,0.107
1990,5,0.518,0.348,0.447,0.428,0.574,0.386,0.482,0.579,1.467,1.185,0.818,0.828,0.75,0.094,0.221,0.079,0.009
1990,6,0.359,0.327,0.388,0.601,0.981,0.821,0.644,0.658,1.229,1.038,0.64,0.769,0.584,0.193,0.3,0.126,-0.01
1990,7,0.238,0.289,0.279,0.466,0.603,0.427,0.263,0.322,0.856,0.959,0.898,1.034,0.987,0.516,0.635,0.395,0.326
1990,8,0.244,0.316,0.357,0.516,0.635,0.558,0.273,0.297,0.629,0.546,0.55,0.595,0.416,0.191,0.263,0.216,0.117
1990,9,0.179,0.244,0.311,0.454,0.644,0.563,0.472,0.384,0.962,0.74,0.474,0.542,0.474,0.295,0.355,0.297,0.229
1990,10,0.25,0.208,0.171,0.353,0.692,0.537,0.638,0.668,1.135,1.092,0.52,0.718,0.397,0.086,0.108,0.049,-0.073
1990,11,0.249,0.328,0.52,0.605,0.732,0.587,0.606,0.68,1.206,1.105,0.487,0.543,0.311,-0.078,-0.019,-0.075,-0.169
1990,12,0.156,0.134,0.344,0.444,0.622,0.323,0.3,0.56,1.102,0.822,0.828,0.76,0.729,0.094,0.443,0.067,0.165
1991,1,0.201,0.107,0.143,0.117,0.313,0.095,-0.181,0.053,0.29,0.067,0.118,0.002,0.186,-0.141,-0.035,-0.043,-0.205
1991,2,0.101,0.314,0.289,0.302,0.212,0.369,0.296,0.16,0.36,-0.088,0.006,-0.141,-0.142,-0.211,-0.222,-0.14,-0.419
1991,3,0.122,0.337,0.477,0.456,0.562,0.662,0.269,0.283,0.733,0.63,0.283,0.262,0.354,0.076,0.046,0.052,0.006
1991,4,0.455,0.454,0.622,0.84,1.176,1.34,1.081,0.831,1.205,0.927,0.52,0.559,0.329,-0.182,-0.01,0.018,-0.031
1991,5,0.595,0.506,0.696,0.945,1.257,0.996,1.142,1.015,1.911,1.563,1.091,1.117,1.057,0.223,0.39,0.183,0.112
1991,6,0.252,0.33,0.263,0.412,0.709,0.708,0.593,0.649,1.409,1.556,0.846,0.768,1.282,0.399,0.603,0.303,0.22
1991,7,0.241,0.187,0.237,0.268,0.367,0.447,0.087,0.7,0.979,1.135,1.126,1.164,1.047,0.618,0.653,0.401,0.279
1991,8,0.291,0.434,0.224,0.559,0.782,0.798,0.423,0.387,0.895,0.966,0.594,0.533,0.516,0.147,0.16,0.079,-0.053
1991,9,0.135,0.207,0.224,0.224,0.283,0.329,0.249,0.334,0.755,0.889,0.751,0.928,0.956,0.622,0.558,0.408,0.322
1991,10,0.196,0.226,0.421,0.423,0.562,0.533,0.401,0.381,0.746,0.793,0.65,0.635,0.711,0.386,0.381,0.349,0.217
1991,11,0.236,0.324,0.436,0.596,0.857,0.751,0.77,0.745,0.987,0.76,0.506,0.341,0.07,-0.181,-0.199,-0.151,-0.272
1991,12,-0.083,-0.113,0.151,0.012,-0.021,-0.337,-0.39,-0.107,0.047,-0.094,-0.013,-0.098,0.081,-0.072,-0.098,-0.097,-0.291
1992,1,0.063,-0.105,0.11,0.119,0.287,0.08,0.134,-0.163,0.064,-0.247,-0.181,-0.485,-0.387,-0.62,-0.719,-0.505,-0.955
1992,2,0.122,0.106,0.061,-0.101,0.004,-0.51,-0.08,-0.343,-0.324,-0.444,-0.55,-0.721,-0.26,-0.256,-0.212,-0.066,-0.334
1992,3,0.224,0.124,0.205,0.096,0.17,-0.017,0.034,0.128,0.185,0.172,0.212,0.221,0.467,0.171,0.311,0.168,0.119
1992,4,0.41,0.369,0.459,0.679,0.887,0.869,0.817,0.61,0.752,0.571,0.116,0.112,-0,-0.198,-0.075,-0.045,-0.193
1992,5,0.206,0.272,0.36,0.398,0.463,0.544,0.571,0.89,1.269,1.321,1.076,1.171,1.075,0.407,0.614,0.316,0.304
1992,6,0.388,0.349,0.537,0.556,0.613,0.406,0.351,0.378,0.832,1.057,0.92,0.913,0.964,0.294,0.445,0.201,0.156
1992,7,0.118,0.146,0.299,0.45,0.781,0.716,0.533,0.593,0.932,1.037,0.746,0.72,0.817,0.485,0.551,0.367,0.326
1992,8,0.21,0.247,0.432,0.451,0.655,0.522,0.687,0.372,0.78,0.792,0.56,0.584,0.586,0.306,0.425,0.306,0.256
1992,9,0.26,0.256,0.49,0.492,0.597,0.471,0.427,0.469,0.899,0.906,0.741,0.611,0.531,0.285,0.283,0.29,0.151
1992,10,0.251,0.308,0.376,0.258,0.231,0.15,0.165,0.146,0.473,0.35,0.307,0.255,0.376,0.106,0.139,0.148,0.026
1992,11,0.23,0.18,0.41,0.454,0.417,0.338,0.359,0.257,0.468,0.403,-0.04,0.046,-0.087,-0.139,-0.073,0.044,-0.162
1992,12,-0.149,0.264,0.421,0.281,0.236,0.604,0.12,0.063,0.447,0.483,0.159,0.117,0.175,-0.021,-0.036,-0.029,-0.175
1993,1,0.108,0.071,0.144,0.047,-0.067,0.072,0.014,-0.33,-0.055,-0.471,-0.177,-0.376,0.062,-0.053,-0.035,-0.009,-0.344
1993,2,0.018,0.04,0.142,0.155,0.003,-0.224,-0.038,-0.105,-0.135,0.089,-0.06,0.165,0.067,0.084,-0.039,-0.024,-0.311
1993,3,0.23,0.409,0.401,0.585,0.604,0.601,0.353,0.261,0.334,0.268,-0.221,-0.302,0.019,-0.245,-0.259,-0.051,-0.199
1993,4,0.424,0.498,0.662,1.162,1.316,1.177,1.018,0.758,1.036,0.752,-0.043,-0.056,-0.366,-0.466,-0.468,-0.154,-0.472
1993,5,0.394,0.386,0.505,0.469,0.303,0.13,0.109,0.141,0.189,0.215,-0.24,0.008,0.143,-0.095,0.034,0.058,-0.116
1993,6,0.21,0.211,0.356,0.671,1.177,0.922,0.809,1.099,1.928,1.689,0.924,0.965,0.837,0.274,0.369,0.205,0.076
1993,7,0.169,0.09,0.147,0.32,0.522,0.461,0.436,0.629,1.483,1.433,1.12,1.025,0.844,0.372,0.448,0.238,0.193
1993,8,0.243,0.224,0.284,0.371,0.575,0.496,0.485,0.608,1.049,1.156,0.944,0.873,0.807,0.484,0.539,0.316,0.193
1993,9,0.141,0.318,0.305,0.398,0.622,0.516,0.619,0.674,1.13,0.879,0.601,0.485,0.559,0.42,0.371,0.342,0.222
1993,10,0.136,0.207,0.165,0.238,0.276,0.259,0.141,0.101,0.355,0.354,0.218,0.358,0.377,0.108,0.169,0.103,-0.055
1993,11,0.067,0.18,0.204,0.33,0.397,0.352,0.323,0.436,0.691,0.64,0.771,0.786,0.695,0.305,0.27,0.24,0.002
1993,12,0.174,-0.032,0.359,0.137,0.078,0.059,-0.031,-0.097,0.029,-0.096,-0.611,-0.683,-0.252,-0.479,-0.602,-0.232,-0.567
1994,1,0.048,0.019,0.291,0.249,0.225,0.274,0.023,-0.006,0.259,0.356,-0.151,-0.25,-0.102,-0.203,-0.237,-0.019,-0.267
1994,2,-0.099,0.174,0.199,0.127,0.181,0.028,0.063,-0.034,0.153,0.339,-0.038,-0.04,-0.319,-0.184,-0.367,-0.103,-0.498
1994,3,0.058,0.27,0.35,0.379,0.58,0.418,0.36,0.273,0.494,0.662,0.291,0.419,0.199,-0.055,0.072,-0.079,-0.234
1994,4,0.23,0.288,0.558,0.723,1.127,0.903,1.009,0.869,1.277,1.101,0.861,0.953,0.496,0.006,0.135,0.017,-0.146
1994,5,0.299,0.171,0.348,0.576,0.85,0.769,0.614,0.659,1.066,1.135,0.637,0.835,0.73,0.243,0.436,0.231,0.134
1994,6,0.046,0.202,0.277,0.715,1.404,1.16,1.151,0.899,1.439,1.63,0.831,0.939,0.704,0.246,0.387,0.162,0.058
1994,7,0.176,0.298,0.236,0.274,0.421,0.341,0.366,0.366,0.948,1.443,1.234,1.234,1.079,0.615,0.675,0.345,0.309
1994,8,0.11,0.188,0.25,0.468,0.986,0.761,0.761,0.681,0.995,1.134,0.518,0.564,0.433,0.226,0.308,0.188,0.079
1994,9,0.464,0.363,0.38,0.293,0.537,0.394,0.337,0.353,0.64,0.613,0.505,0.655,0.635,0.334,0.334,0.238,0.097
1994,10,0.254,0.322,0.302,0.426,0.795,0.758,0.648,0.684,1.159,0.754,0.47,0.551,0.501,0.094,0.114,0.086,0.026
1994,11,0.183,0.367,0.494,0.484,0.573,0.291,0.253,0.238,0.458,0.215,0.074,0.157,0.188,-0.208,-0.163,-0.056,-0.247
1994,12,-0.065,-0.022,0.41,0.171,0.035,0.154,0.128,-0.225,0.068,-0.233,-0.58,-0.923,-0.541,-0.559,-0.731,-0.268,-0.577
1995,1,-0.173,-0.153,0.233,-0.001,-0.609,-0.777,-0.54,-0.918,-1.197,-1.469,-1.137,-1.509,-0.513,-0.56,-0.737,-0.194,-0.578
1995,2,-0.369,0.046,0.194,0.275,0.174,0.115,0.283,-0.021,0.3,-0.009,0.086,0.454,0.15,-0.155,-0.169,0.132,-0.176
1995,3,0.027,0.274,0.428,0.306,0.069,0.081,0.035,-0.09,0.153,-0.354,-0.49,-0.787,-0.119,-0.182,-0.549,-0.228,-0.764
1995,4,0.15,0.337,0.654,0.685,1.164,1.089,0.899,0.748,1.254,1.104,0.282,0.46,0.209,-0.054,0.276,0.139,-0.123
1995,5,0.069,0.053,0.321,0.428,0.791,0.733,0.46,0.804,1.507,1.298,1.022,1.324,0.894,0.345,0.518,0.208,0.103
1995,6,0.373,0.199,0.257,0.71,1.086,1.2,0.626,0.705,1.274,1.077,0.691,0.856,0.516,0.297,0.346,0.198,0.036
1995,7,0.277,0.254,0.258,0.452,0.822,1.094,0.648,0.438,0.816,0.862,0.694,0.871,0.65,0.426,0.463,0.295,0.18
1995,8,0.205,0.249,0.255,0.467,0.727,0.76,0.681,0.657,1.347,1.185,0.719,0.724,0.628,0.272,0.36,0.258,0.13
1995,9,0.302,0.337,0.396,0.466,0.81,0.797,0.255,0.295,0.671,0.503,0.226,0.266,0.308,0.143,0.236,0.099,-0.035
1995,10,0.135,0.087,0.137,0.131,0.366,0.627,0.51,0.313,0.925,0.846,0.514,0.712,0.55,0.235,0.207,0.165,-0.073
1995,11,0.021,0.27,0.298,0.257,0.352,0.442,0.359,0.071,0.463,0.203,-0.159,-0.355,-0.142,-0.42,-0.429,-0.241,-0.539
1995,12,0.017,0.254,0.478,0.436,0.213,0.165,-0.021,-0.189,-0.119,-0.341,-0.784,-1.123,-0.49,-0.485,-0.639,-0.222,-0.573
1996,1,0.129,0.338,0.46,0.432,0.517,0.542,0.336,0.223,0.554,0.642,-0.321,0.122,-0.101,-0.241,-0.086,0.148,-0.109
1996,2,0.133,0.246,0.291,0.263,0.057,0.021,-0.105,-0.127,-0.106,0.056,-0.732,-0.5,-0.228,-0.347,-0.509,-0.099,-0.256
1996,3,0.214,0.321,0.387,0.518,0.478,0.692,0.49,0.362,0.791,0.823,0.137,0.487,0.354,-0.077,-0.028,0.011,0.031
1996,4,0.117,0.424,0.446,0.744,0.821,0.768,0.704,0.503,0.581,0.381,-0.037,-0.085,-0.31,-0.484,-0.48,-0.076,-0.502
1996,5,0.427,0.414,0.388,0.501,0.941,0.983,0.95,0.998,1.841,1.417,1.14,1.153,1.041,0.197,0.429,0.141,0.093
1996,6,0.292,0.321,0.347,0.479,0.932,0.927,1.121,0.758,2.06,1.924,0.958,0.981,1.168,0.419,0.551,0.281,0.19
1996,7,0.161,0.225,0.195,0.3,0.499,0.453,0.501,0.525,1.149,1.15,0.974,1.053,0.884,0.548,0.623,0.447,0.406
1996,8,0.256,0.14,0.231,0.401,0.688,0.796,0.829,0.645,1.315,1.052,0.638,0.77,0.545,0.318,0.395,0.368,0.274
1996,9,0.245,0.262,0.229,0.214,0.427,0.334,0.313,0.281,0.693,0.741,0.543,0.693,0.694,0.257,0.267,0.228,0.108
1996,10,0.384,0.325,0.399,0.582,0.83,0.82,0.539,0.315,0.814,0.54,0.404,0.434,0.454,0.113,0.134,0.103,-0.061
1996,11,0.393,0.352,0.352,0.469,0.692,0.565,0.327,0.345,0.654,0.29,-0.004,0.031,0.222,-0.003,0.097,0.108,-0.073
1996,12,0.05,0.012,0.139,0.1,0.113,-0.084,-0.272,-0.477,-0.353,-0.651,-0.734,-0.803,-0.526,-0.457,-0.591,-0.14,-0.416
1997,1,0.291,0.189,0.299,0.265,0.295,0.361,0.236,-0.054,0.197,0.058,-0.405,-0.255,-0.122,-0.281,-0.194,-0.116,-0.398
1997,2,0.247,0.415,0.637,0.757,1.161,1.307,1.222,0.692,1.277,1.447,0.394,0.704,0.629,0.071,0.185,0.175,-0.052
1997,3,0.067,0.128,0.245,0.288,0.68,0.526,0.526,0.408,1.101,0.757,0.261,0.343,0.292,-0.418,-0.285,-0.185,-0.394
1997,4,0.677,0.374,0.593,0.712,1.245,1.195,0.941,0.568,1.624,0.948,0.347,0.535,0.543,-0.068,0.119,0.044,-0.02
1997,5,0.325,0.194,0.24,0.34,0.45,0.5,0.343,0.312,0.522,0.461,0.112,0.274,0.219,0.026,0.148,0.049,-0.054
1997,6,0.425,0.364,0.387,0.632,0.964,0.914,1.049,1.068,1.8,1.583,0.865,1.01,0.573,0.259,0.33,0.171,0.081
1997,7,0.116,0.284,0.194,0.303,0.624,0.623,0.552,0.761,1.108,1.156,0.797,1.098,0.797,0.432,0.56,0.344,0.295
1997,8,0.323,0.266,0.261,0.275,0.507,0.391,0.316,0.192,0.372,0.334,0.293,0.349,0.296,0.103,0.135,0.101,0.011
1997,9,0.29,0.253,0.312,0.371,0.64,0.393,0.279,0.385,0.672,0.641,0.407,0.455,0.219,-0.001,-0.08,-0.066,-0.222
1997,10,0.23,0.222,0.381,0.453,0.618,0.693,0.383,0.442,0.855,0.752,0.615,0.367,0.347,-0.109,-0.152,-0.131,-0.334
1997,11,0.266,0.182,0.096,0.054,-0.01,0.077,-0.177,-0.318,-0.09,-0.369,-0.696,-0.799,-0.396,-0.339,-0.467,-0.16,-0.647
1997,12,0.431,0.202,0.154,0.172,0.284,0.365,0.307,0.143,0.359,0.198,0.121,0.248,0.012,-0.193,-0.132,-0.295,-0.53
1998,1,0.509,0.294,0.356,0.27,-0.059,0.285,-0.424,-0.434,-0.616,-0.85,-0.755,-1.289,-0.58,-0.28,-0.952,-0.295,-1.068
1998,2,0.175,0.296,0.532,0.354,0.64,0.333,-0.127,-0.379,-0.14,-0.586,-0.643,-0.935,-0.539,-0.215,-0.982,-0.229,-0.947
1998,3,0.362,0.447,0.555,0.624,1.026,1.1,0.734,0.463,0.976,1.068,0.185,0.372,0.215,-0.06,0.076,0.12,-0.148
1998,4,0.257,0.696,0.353,0.663,1.07,0.942,0.761,0.678,1.1,0.993,0.65,0.636,0.447,0.103,0.18,0.04,0.051
1998,5,0.4,0.486,0.334,0.459,0.736,0.549,0.313,0.223,0.561,0.538,0.314,0.561,0.572,0.146,0.341,0.23,0.217
1998,6,0.695,0.462,0.266,0.437,0.634,0.594,0.584,0.819,1.384,1.484,1.297,1.229,1.003,0.487,0.527,0.358,0.326
1998,7,0.364,0.205,0.196,0.313,0.75,0.507,0.555,0.493,1.369,1.204,0.827,0.758,0.795,0.354,0.377,0.231,0.107
1998,8,0.218,0.19,0.26,0.432,0.831,0.713,0.758,0.651,1.4,1.451,1.028,0.967,0.844,0.495,0.525,0.366,0.253
1998,9,0.353,0.43,0.293,0.299,0.582,0.553,0.352,0.399,0.843,0.84,0.718,0.778,0.704,0.375,0.5,0.333,0.217
1998,10,0.301,0.209,0.365,0.56,0.875,0.999,0.697,0.458,0.93,0.688,0.275,0.276,0.268,-0.018,0.021,0.005,-0.188
1998,11,0.208,0.347,0.427,0.447,0.535,0.407,0.169,-0.116,0.098,-0.195,-0.594,-0.808,-0.504,-0.616,-0.722,-0.417,-0.891
1998,12,0.261,0.49,0.334,0.558,0.89,0.994,0.784,0.6,1.259,1.091,0.791,0.52,0.62,-0.207,-0.078,-0.055,-0.266
1999,1,0.273,0.274,0.188,0.238,0.405,0.211,0.257,0.392,0.531,0.284,0.093,-0.007,0.083,-0.333,-0.288,-0.211,-0.439
1999,2,0.724,0.309,0.593,0.371,0.725,0.3,0.381,0.148,0.084,-0.438,-0.88,-1.016,-0.723,-0.73,-1.252,-0.589,-1.261
1999,3,0.574,0.252,0.371,0.347,0.643,0.795,0.523,0.472,0.558,0.29,-0.139,0.15,-0.449,-0.321,-0.404,-0.198,-0.583
1999,4,0.554,0.307,0.482,0.527,1.173,1.49,1.331,1.22,2.313,1.792,1.435,1.616,0.955,0.289,0.553,0.306,0.328
1999,5,0.37,0.298,0.241,0.476,0.806,1.207,1.038,0.674,2.21,1.699,1.304,1.455,0.827,0.297,0.497,0.347,0.327
1999,6,0.395,0.428,0.385,0.623,1,1.28,0.914,0.682,2.035,1.922,0.698,0.849,0.666,0.178,0.258,0.176,0.097
1999,7,0.497,0.45,0.399,0.487,0.753,0.605,0.472,0.474,1.19,1.206,0.836,0.919,0.771,0.419,0.465,0.288,0.266
1999,8,0.512,0.458,0.382,0.654,0.93,0.877,0.66,0.501,1.201,1.091,0.576,0.533,0.506,0.243,0.306,0.217,0.131
1999,9,0.448,0.402,0.32,0.219,0.248,0.109,0.253,0.363,1.075,1.637,1.343,1.437,1.218,0.665,0.64,0.455,0.329
1999,10,0.433,0.239,0.3,0.292,0.634,0.33,0.41,0.314,0.66,0.686,0.508,0.537,0.439,0.098,0.102,0.048,-0.192
1999,11,0.454,0.312,0.303,0.372,0.379,0.186,0.261,-0.127,-0.093,-0.229,-0.94,-1.041,-0.842,-0.641,-0.641,-0.379,-0.717
1999,12,0.198,0.256,0.328,0.485,0.574,0.427,0.768,0.628,1.163,1.09,0.423,0.6,0.48,-0.117,-0.008,-0.04,-0.248
2000,1,0.276,0.231,0.421,0.273,0.495,0.297,0.012,0.032,0.107,-0.289,-0.426,-0.574,-0.353,-0.473,-0.293,-0.116,-0.448
2000,2,0.146,0.201,0.312,0.153,-0.066,-0.05,-0.319,-0.265,-0.15,-0.477,-0.667,-0.684,-0.251,-0.114,-0.266,0.07,-0.416
2000,3,0.378,0.342,0.524,0.609,1.093,1.159,1.222,0.967,1.862,1.314,0.862,1.097,0.572,-0.075,0.109,0.086,-0.061
2000,4,0.451,0.324,0.376,0.615,0.825,0.905,0.573,0.386,0.689,0.485,0.242,0.336,0.387,0.057,0.209,0.091,0.015
2000,5,0.48,0.336,0.429,0.534,0.941,1.239,0.96,0.878,1.353,1.296,0.562,0.665,0.474,0.15,0.251,0.201,0.1
