Pacific Decadal Oscillation (PDO)
Date,Value
185401,0.11
185402,-0.24
185403,-0.40
185404,-0.44
185405,-0.54
185406,-0.30
185407,-0.10
185408,-1.24
185409,-1.00
185410,-2.23
185411,-1.68
185412,-1.76
185501,-0.20
185502,-0.39
185503,-0.24
185504,-0.58
185505,-1.34
185506,-1.88
185507,-1.13
185508,-0.48
185509,-0.76
185510,-0.63
185511,-0.41
185512,-0.88
185601,-0.39
185602,0.47
185603,0.42
185604,-0.96
185605,-1.26
185606,-2.15
185607,-0.69
185608,0.63
185609,0.58
185610,0.59
185611,0.23
185612,0.04
185701,-0.52
185702,-1.67
185703,-1.05
185704,-0.81
185705,-0.65
185706,1.03
185707,1.17
185708,0.81
185709,0.84
185710,0.70
185711,0.38
185712,-0.55
185801,-0.96
185802,-1.53
185803,-1.76
185804,-0.82
185805,0.49
185806,2.19
185807,1.05
185808,0.67
185809,1.38
185810,2.35
185811,0.46
185812,-1.16
185901,-1.22
185902,-1.71
185903,-2.46
185904,-3.65
185905,-2.86
185906,-1.99
185907,-1.01
185908,-1.26
185909,-1.19
185910,-1.31
185911,-1.14
185912,-1.12
186001,-1.31
186002,-1.28
186003,-1.34
186004,-0.77
186005,-0.85
186006,-1.26
186007,-0.27
186008,-0.40
186009,0.33
186010,-1.70
186011,-1.18
186012,-1.42
186101,-0.57
186102,-0.84
186103,-0.86
186104,-0.83
186105,-0.37
186106,-0.35
186107,-0.61
186108,-0.80
186109,-1.20
186110,-1.58
186111,-1.80
186112,-1.65
186201,-0.41
186202,-0.13
186203,0.16
186204,0.07
186205,0.09
186206,-0.08
186207,-0.12
186208,-0.20
186209,-0.98
186210,-0.80
186211,-0.39
186212,0.07
186301,-0.06
186302,-0.34
186303,-0.37
186304,-0.18
186305,0.03
186306,-0.03
186307,0.07
186308,-0.26
186309,0.05
186310,0.07
186311,0.11
186312,-0.23
186401,-0.19
186402,-0.09
186403,-1.04
186404,-1.00
186405,-0.78
186406,-0.66
186407,-0.19
186408,-0.48
186409,-0.21
186410,0.23
186411,0.53
186412,0.50
186501,-0.28
186502,-0.54
186503,-0.48
186504,-0.16
186505,-0.15
186506,-0.66
186507,-0.96
186508,-0.69
186509,-0.73
186510,-0.61
186511,-0.62
186512,-0.76
186601,-2.31
186602,-2.27
186603,-2.22
186604,-1.16
186605,-0.68
186606,-0.84
186607,-0.55
186608,-0.40
186609,-0.35
186610,-0.17
186611,-0.07
186612,-0.29
186701,-0.14
186702,-0.29
186703,-0.48
186704,-0.43
186705,-0.34
186706,-0.14
186707,0.16
186708,-0.34
186709,-0.29
186710,-0.89
186711,-0.28
186712,0.76
186801,0.98
186802,0.26
186803,0.03
186804,-0.39
186805,-0.43
186806,-0.22
186807,0.11
186808,-0.02
186809,0.09
186810,-0.20
186811,-0.63
186812,-0.81
186901,-0.84
186902,-0.16
186903,0.33
186904,1.23
186905,3.56
186906,3.84
186907,3.78
186908,1.20
186909,-0.12
186910,-0.40
186911,-0.63
186912,-0.46
187001,0.23
187002,-0.19
187003,0.03
187004,-0.30
187005,-0.14
187006,-0.37
187007,-0.13
187008,0.05
187009,-0.49
187010,-0.70
187011,-0.88
187012,-0.94
187101,-0.44
187102,0.00
187103,-0.18
187104,-0.51
187105,-0.93
187106,-0.36
187107,-0.38
187108,-0.09
187109,-0.58
187110,-0.80
187111,-0.90
187112,-0.29
187201,-0.39
187202,-0.55
187203,-0.20
187204,-0.49
187205,-0.03
187206,-0.82
187207,-0.95
187208,-1.02
187209,-0.51
187210,-0.11
187211,-1.74
187212,-2.10
187301,-2.06
187302,-2.11
187303,-1.67
187304,-0.69
187305,-0.49
187306,-0.80
187307,-1.14
187308,-1.05
187309,-0.87
187310,-0.70
187311,-1.06
187312,-0.86
187401,-0.74
187402,-1.18
187403,-0.24
187404,0.16
187405,0.01
187406,-0.26
187407,-0.21
187408,0.31
187409,0.15
187410,-0.04
187411,-0.00
187412,-1.13
187501,-1.42
187502,-1.53
187503,-1.18
187504,-1.24
187505,-0.65
187506,-0.79
187507,-0.64
187508,-0.80
187509,-0.64
187510,-1.19
187511,-0.90
187512,0.11
187601,-0.96
187602,-0.74
187603,-0.91
187604,-1.53
187605,-1.57
187606,-0.82
187607,-2.21
187608,-2.16
187609,-1.48
187610,-0.40
187611,-0.04
187612,-0.24
187701,-0.13
187702,-0.08
187703,-0.08
187704,-0.68
187705,-0.82
187706,-1.18
187707,-0.37
187708,-0.62
187709,-0.24
187710,0.02
187711,0.46
187712,0.07
187801,0.18
187802,0.85
187803,0.96
187804,1.49
187805,1.48
187806,0.90
187807,0.46
187808,-0.63
187809,-1.97
187810,-1.68
187811,-0.51
187812,1.31
187901,0.20
187902,0.13
187903,0.23
187904,0.61
187905,-0.56
187906,-0.91
187907,-1.60
187908,-0.62
187909,-0.52
187910,-0.75
187911,-0.64
187912,-0.20
188001,0.44
188002,-0.45
188003,-1.51
188004,-2.42
188005,-2.97
188006,-3.15
188007,-2.27
188008,-1.79
188009,-1.77
188010,0.02
188011,-0.40
188012,-0.06
188101,-0.48
188102,-0.15
188103,-0.02
188104,0.17
188105,0.50
188106,0.24
188107,-1.30
188108,-2.31
188109,0.16
188110,0.34
188111,0.20
188112,-0.55
188201,-2.06
188202,-1.92
188203,-1.79
188204,-1.60
188205,-1.51
188206,-1.71
188207,-3.18
188208,-1.10
188209,-0.81
188210,-1.07
188211,-0.34
188212,0.66
188301,-0.97
188302,-1.32
188303,-1.40
188304,-0.32
188305,-0.67
188306,-1.25
188307,-2.82
188308,-2.36
188309,-1.75
188310,-1.47
188311,-1.07
188312,-1.67
188401,-1.77
188402,-1.95
188403,-1.42
188404,-0.53
188405,0.41
188406,0.84
188407,1.10
188408,1.00
188409,0.74
188410,1.08
188411,2.16
188412,2.35
188501,2.57
188502,1.02
188503,1.72
188504,1.47
188505,0.70
188506,-0.41
188507,-0.68
188508,-0.06
188509,-0.15
188510,-0.05
188511,-0.32
188512,-0.34
188601,-0.52
188602,0.62
188603,-0.48
188604,0.35
188605,-0.20
188606,-1.17
188607,-0.30
188608,-0.39
188609,-0.44
188610,-1.30
188611,-2.63
188612,-1.79
188701,-0.93
188702,-1.41
188703,-2.04
188704,-1.49
188705,-0.33
188706,0.69
188707,1.54
188708,-0.87
188709,-1.96
188710,-1.33
188711,-0.97
188712,-1.07
188801,-0.98
188802,-0.11
188803,0.10
188804,0.02
188805,1.48
188806,1.68
188807,1.78
188808,1.13
188809,1.04
188810,0.60
188811,0.76
188812,0.47
188901,0.44
188902,-0.01
188903,0.14
188904,0.88
188905,1.16
188906,1.12
188907,0.13
188908,-1.02
188909,-1.27
188910,-0.42
188911,1.34
188912,-0.16
189001,-0.66
189002,-1.09
189003,-1.49
189004,-1.10
189005,-1.34
189006,-3.41
189007,-1.40
189008,-0.99
189009,0.83
189010,-0.45
189011,-1.04
189012,-1.31
189101,-0.52
189102,-0.80
189103,-1.02
189104,-0.48
189105,0.87
189106,1.01
189107,1.13
189108,0.64
189109,0.30
189110,0.89
189111,0.03
189112,-0.18
189201,-1.15
189202,-1.42
189203,-0.96
189204,-1.32
189205,-2.76
189206,-1.94
189207,-1.65
189208,-2.85
189209,-2.46
189210,-2.82
189211,-2.36
189212,-1.13
189301,-0.51
189302,-0.67
189303,-0.93
189304,-1.60
189305,-2.45
189306,-2.13
189307,-2.14
189308,-0.41
189309,0.06
189310,-0.54
189311,-0.71
189312,-1.49
189401,-1.42
189402,-2.17
189403,-3.20
189404,-3.15
189405,-3.35
189406,-2.75
189407,-2.98
189408,-1.91
189409,-2.02
189410,-2.56
189411,-2.77
189412,-1.17
189501,-0.86
189502,-0.64
189503,-0.65
189504,-1.13
189505,-0.48
189506,-0.74
189507,0.43
189508,-0.16
189509,-1.34
189510,-0.84
189511,-1.23
189512,-0.27
189601,0.32
189602,0.20
189603,-0.17
189604,-0.91
189605,-1.32
189606,-0.68
189607,-0.32
189608,-0.18
189609,0.99
189610,0.26
189611,0.29
189612,0.21
189701,0.38
189702,-0.29
189703,-0.62
189704,-0.06
189705,0.67
189706,0.80
189707,0.57
189708,-0.00
189709,-0.70
189710,0.31
189711,0.58
189712,0.05
189801,-0.08
189802,-0.27
189803,-0.42
189804,0.21
189805,-0.39
189806,0.29
189807,-0.36
189808,0.43
189809,0.29
189810,0.27
189811,0.55
189812,0.60
189901,0.08
189902,-1.27
189903,-0.75
189904,-0.51
189905,-1.07
189906,-1.48
189907,-0.14
189908,0.32
189909,0.35
189910,-0.37
189911,0.30
189912,0.32
190001,0.81
190002,0.20
190003,0.61
190004,1.85
190005,1.49
190006,1.23
190007,1.07
190008,1.15
190009,-0.40
190010,0.08
190011,0.57
190012,1.02
190101,1.13
