Station Id,Station Name,Water Year,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
908,Alpine Meadows,1995,21.2,31.3,35.6,33.3,36.2,37.8,6.2,0,0,0
908,Alpine Meadows,1996,0.4,4.3,14.8,20,22.1,21.3,12.5,0,0,0
908,Alpine Meadows,1997,10.4,33.1,43.6,55.7,67.8,72.6,48.7,13.1,0,0
908,Alpine Meadows,1998,3.2,13.2,33.5,41.6,50,47.2,29.6,0,0,0
908,Alpine Meadows,1999,6.2,19.3,46.2,65.8,79,81.7,74.2,30.5,0,0
908,Alpine Meadows,2000,7.6,21.6,43.8,53.6,63.7,55,42.7,0,0,0
908,Alpine Meadows,2001,6.4,15.1,20.4,24.7,34.6,41.6,23.8,0,0,0
908,Alpine Meadows,2002,11.7,28.9,47.4,56.6,81,72.3,37,0,0,0
908,Alpine Meadows,2003,0,7.6,3.1,12.1,23,26.4,12.8,0,0,0
908,Alpine Meadows,2004,13.4,23.7,35.4,39.8,48.7,38.9,15,0,0,0
908,Alpine Meadows,2005,2.4,7,7.1,12.8,18.7,14,0,0,0,0
908,Alpine Meadows,2006,13.6,16.2,37.9,50.9,61.1,62.2,37.8,0,0,0
908,Alpine Meadows,2007,14.9,22.8,38.6,51.7,56.8,56,28,0,0,0
908,Alpine Meadows,2008,4.3,25.8,46.3,68,84.9,93.2,79.4,64.2,18.1,0
908,Alpine Meadows,2009,0.7,24,35.7,41.2,62.7,70.1,54.4,18.7,0,0
908,Alpine Meadows,2010,12.7,15.9,16.1,16.9,31.6,35.1,29.8,0,0,0
908,Alpine Meadows,2011,8.2,13.9,18.5,30.3,46.3,66,63,45,2.1,0
908,Alpine Meadows,2012,11.1,14.7,27.6,42.9,67.4,68.1,53.9,25.9,0,0
908,Alpine Meadows,2013,2.8,29.3,50.3,67.1,73.7,76.6,54.5,11.1,0,0
990,Beaver Pass,2002,5,19.7,30.2,39.3,48.6,45.1,28.5,0,0,0
990,Beaver Pass,2003,0,10.8,19.5,20.3,27.1,23.7,9.5,0,0,0
990,Beaver Pass,2004,10.2,17.7,23.9,28.2,32.2,25.9,3.8,0,0,0
990,Beaver Pass,2005,2,8.6,9.9,10.7,16.6,14.5,0,0,0,0
990,Beaver Pass,2006,7.4,12.7,33.3,40.8,44.8,41.4,24.6,0,0,0
