Station_Name,Station Id,State Code,Network Code,Network Name,Elevation,Latitude,Longitude
Adin_Mtn,301,CA,SNTL,SNOTEL,6190,41.23583,-120.79192
Agua_Canyon,907,UT,SNTL,SNOTEL,8900,37.52217,-112.27118
Albro_Lake,916,MT,SNTL,SNOTEL,8300,45.59723,-111.95902
Alpine_Meadows,908,WA,SNTL,SNOTEL,3500,47.77957,-121.69847
American_Creek,1189,AK,SNTL,SNOTEL,1050,64.78969,-141.23377
Anchor_River_Divide,1062,AK,SNTL,SNOTEL,1653,59.85972,-151.315
Anchorage_Hillside,1070,AK,SNTL,SNOTEL,2080,61.11483,-149.66683
Aneroid_Lake_2,302,OR,SNTL,SNOTEL,7400,45.21328,-117.19258
Annie_Springs,1000,OR,SNTL,SNOTEL,6010,42.87007,-122.16518
Apishapa,303,CO,SNTL,SNOTEL,10000,37.33062,-105.06749
Arapaho_Ridge,1030,CO,SNTL,SNOTEL,10960,40.35098,-106.38142
Arbuckle_Mtn,304,OR,SNTL,SNOTEL,5770,45.19085,-119.25392
Atigun_Pass,957,AK,SNTL,SNOTEL,4800,68.12983,-149.47817
Atlanta_Summit,306,ID,SNTL,SNOTEL,7580,43.7569,-115.23907
Badger_Pass,307,MT,SNTL,SNOTEL,6900,48.13088,-113.02317
Baker_Butte,308,AZ,SNTL,SNOTEL,7300,34.4566,-111.40643
Baker_Butte_Smt,1140,AZ,SNTL,SNOTEL,7700,34.45547,-111.38272
Bald_Mtn.,309,WY,SNTL,SNOTEL,9380,44.8007,-107.84442
Baldy,310,AZ,SNTL,SNOTEL,9125,33.97883,-109.50344
Banfield_Mountain,311,MT,SNTL,SNOTEL,5600,48.5712,-115.44573
Banner_Summit,312,ID,SNTL,SNOTEL,7040,44.30342,-115.23447
Bar_M,1212,AZ,SNTL,SNOTEL,6393,34.86136,-111.60503
Barker_Lakes,313,MT,SNTL,SNOTEL,8250,46.09713,-113.13038
Base_Camp,314,WY,SNTL,SNOTEL,7030,43.94583,-110.44677
Basin_Creek,315,MT,SNTL,SNOTEL,7180,45.79737,-112.52047
Bateman,316,NM,SNTL,SNOTEL,9300,36.51216,-106.32129
Battle_Mountain,317,WY,SNTL,SNOTEL,7440,41.05413,-107.26609
Beagle_Springs,318,MT,SNTL,SNOTEL,8850,44.47147,-112.98191
Bear_Basin,319,ID,SNTL,SNOTEL,5350,44.95222,-116.14293
Bear_Canyon,320,ID,SNTL,SNOTEL,7900,43.74367,-113.93797
Bear_Creek,321,NV,SNTL,SNOTEL,8040,41.83417,-115.45222
Bear_Grass,1166,OR,SNTL,SNOTEL,4720,44.3253,-122.0938
Bear_Lake,322,CO,SNTL,SNOTEL,9500,40.31118,-105.64483
Bear_Mountain,323,ID,SNTL,SNOTEL,5400,48.30577,-116.07448
Bear_River,1061,CO,SNTL,SNOTEL,9080,40.06153,-107.00955
Bear_River_RS,992,UT,SNTL,SNOTEL,8777,40.8852,-110.8277
Bear_Saddle,324,ID,SNTL,SNOTEL,6180,44.60553,-116.98008
Bear_Trap_Meadow,325,WY,SNTL,SNOTEL,8200,43.88743,-107.06135
Beartooth_Lake,326,WY,SNTL,SNOTEL,9360,44.94307,-109.56743
Beartown,327,CO,SNTL,SNOTEL,11600,37.71409,-107.51212
Beaver_Ck_Village,1041,CO,SNTL,SNOTEL,8500,39.59917,-106.51142
Beaver_Creek,328,MT,SNTL,SNOTEL,7850,44.94966,-111.35852
Beaver_Dams,329,UT,SNTL,SNOTEL,7990,39.13683,-111.55813
Beaver_Divide,330,UT,SNTL,SNOTEL,8280,40.61233,-111.09782
Beaver_Head,902,AZ,SNTL,SNOTEL,7990,33.69144,-109.21657
Beaver_Pass,990,WA,SNTL,SNOTEL,3630,48.8793,-121.2555
